AABNF;Altin Ag Baar Namen;25.20;25.20;25.20;100;-37.61
AABVF;Aberdeen Intl Inc;0.0954;0.0910;0.0918;178,400;-0.0045
AACAF;Aac Tech Holdings;11.11;11.11;11.11;500;-0.35
AACAY;Aac Acoustic Tec ADR;106.0;105.0;106.0;1,900;1.6
AACS;American Comm Solut;0.0020;0.0020;0.0020;40,000;0.0001
AACTF;Act Aurora Ctl Tech;0.1425;0.1271;0.1425;8,700;0.0002
AAEEF;Altair Gold Inc;0.2171;0.2171;0.2171;6,600;-0.0489
AAEH;All American Energy Holding Inc;0.0078;0.0040;0.0078;347,900;-0.0002
AAGC;All American Gld Crp;0.0002;0.0002;0.0002;4,716,700;0.0000
AAGIY;Aia Group Ltd;28.49;28.16;28.41;184,600;0.15
AAIGF;Aia Group Ltd;6.970;6.970;6.970;19,000;-0.040
AAIIQ;Alabama Aircraft Industries Inc;0.1000;0.1000;0.1000;200;-0.0400
AAIR;Avantair Inc;0.0010;0.0010;0.0010;51,000;0.0000
AAMAF;Atlas Mara;2.730;2.678;2.730;1,600;0.000
AAMTF;Armada Mercantile Lt;0.0625;0.0625;0.0625;2,000;-0.0525
AAPH;American Petro-Hunt;0.0006;0.0005;0.0006;404,900;0.0000
AAPJ;Aap Inc;0.0025;0.0025;0.0025;30,000;-0.0033
AAPT;All American Pet Company Inc;0.0001;0.0001;0.0001;60,000;0.0000
AASL;America's Suppliers Inc;1,580;1,580;1,580;100;30
AASP;All-Amer Sportpark;0.4500;0.4370;0.4450;12,000;0.1350
AAST;Royal Union Hldg Cor;0.0041;0.0041;0.0041;10,000;-0.0004
AATDF;Aa Plc;3.260;3.260;3.260;4,300;-0.040
AATRL;Amg Cap TR II;57.80;56.67;57.80;6,500;0.76
AATV;Adaptive Ad Systems Inc;0.5599;0.5599;0.5599;500;-0.4501
AAUKF;Anglo American Ord;14.13;14.13;14.13;100;0.53
AAVXF;Abivax Sa;17.00;16.47;16.50;3,000;-0.50
AAWC;Alexandria Advantage Warranty Company;0.0015;0.0014;0.0015;31,500;0.0001
AAXT;Aamaxan Transport Group Inc;0.4000;0.2200;0.2200;36,000;-0.2100
ABAKF;Aberdeen Asia-Pc Inc;3.467;3.467;3.467;100;0.047
ABBB;Auburn Bancorp Inc;11.15;11.13;11.15;3,000;-0.19
ABBRF;Abraplata Resource Corp;0.4030;0.3640;0.4030;9,000;0.0900
ABBY;Abby Inc;0.0050;0.0038;0.0047;725,700;0.0000
ABCAF;Athabasca Minerals;0.1725;0.1725;0.1725;25,000;0.0075
ABCE;Abco Energy Inc;0.0071;0.0065;0.0067;170,000;-0.0003
ABCFD;Abacus Mng & Expl Cp;0.4600;0.4385;0.4385;4,900;-0.0215
ABCFF;Abacus Mng & Expl Cp;0.0580;0.0480;0.0567;241,900;0.0000
ABCP;Ambase Corp;1.080;1.065;1.080;400;0.010
ABCZF;Abcam Plc;12.64;12.49;12.49;600;-0.24
ABCZY;Abcam Plc;12.36;12.36;12.36;200;-0.69
ABDNF;Aberdeen Asset Mgmt;3.870;3.870;3.870;100;0.220
ABDNY;Aberdeen Asset;7.570;7.440;7.440;4,200;-0.120
ABDR;Ambassador Food New;0.0700;0.0700;0.0700;200;0.0400
ABEC;Analytica Bio-Energy Corp;0.0200;0.0200;0.0200;8,200;-0.0200
ABGOF;Abengoa S.A.;0.0495;0.0495;0.0495;10,000;0.0095
ABGSF;Abg Sundal Collier ASA;0.6200;0.6200;0.6200;2,000;-0.0500
ABHD;Abtech Holdings Inc;0.0190;0.0190;0.0190;13,200;0.0000
ABHI;Ambicom Holdings Inc;0.0017;0.0012;0.0016;4,437,000;0.0001
ABIWF;Ability Inc. Wt;0.0070;0.0070;0.0070;100;0.0025
ABKI;Abakan Inc;0.0074;0.0058;0.0074;2,000;0.0024
ABLYF;Ablynx Nv;12.48;12.40;12.48;1,600;0.46
ABLZF;Abb Ltd Zuerich;25.20;25.20;25.20;500;0.85
ABMBF;Abcourt Mines Inc Cl;0.0661;0.0600;0.0600;44,500;-0.0008
ABMC;Amer Bio Medica;0.1100;0.1000;0.1000;70,600;-0.0100
ABNAF;Aben Resources Ltd;0.0830;0.0830;0.0830;5,000;0.0082
ABNK;Altapacific Bank;10.45;10.45;10.45;500;-0.05
ABPR;Airborne Security and Protective;0.0020;0.0012;0.0015;1,008,000;-0.0003
ABQQ;Ab International Group Corp;20.00;20.00;20.00;100;1.00
ABRTY;Abertis Infraestruct;9.100;9.100;9.100;100;0.110
ABSCF;Ab Science Paris;12.31;12.31;12.31;100;-4.39
ABSSF;Airboss of America Corp;9.011;8.963;8.963;2,000;0.053
ABTO;AB&T Financial Corporation;0.8000;0.8000;0.8000;6,300;0.0000
ABTZY;Aboitiz Equity Ventures Inc. ADR;14.22;14.22;14.22;100;-0.82
ABVG;Affinity Beverage Group Inc.;0.0005;0.0002;0.0003;352,306,700;-0.0001
ABWN;Airborne Wireless Network;2.450;2.200;2.350;58,400;0.150
ABZPF;Aboitiz Power Corp;0.7950;0.7950;0.7950;30,000;-0.0620
ABZPY;Aboitiz Power;16.68;16.68;16.68;100;-0.48
ACAN;Americann Inc;3.400;3.080;3.250;24,800;0.168
ACAR;Activecare Inc;10.01;10.01;10.01;100;1.26
ACAZF;Acadian Timber;13.19;13.18;13.18;2,300;0.02
ACBC;Albina Commty Bcp Or;0.0500;0.0500;0.0500;1,000;-0.0500
ACBFF;Aurora Cannabis Inc;1.860;1.825;1.841;244,700;0.006
ACCA;Acacia Diversified;1.540;1.540;1.540;200;0.115
ACCFF;Accord Financial Corp.;6.522;6.522;6.522;100;-0.018
ACCR;Access Power Inc;0.0001;0.0001;0.0001;4,000;0.0000
ACCYY;Accor S.A.;9.340;9.216;9.300;19,000;0.080
ACDSF;Ascendas R E Inv TR;1.830;1.830;1.830;1,200;-0.010
ACDVF;Air Canada;12.51;12.22;12.51;27,000;0.44
ACEZ;Ariel Clean Energy Inc.;0.0101;0.0101;0.0101;100;0.0000
ACFN;Acorn Energy;0.2855;0.2611;0.2611;21,100;-0.0189
ACGBF;Agricultural Bank;0.4504;0.4504;0.4504;1,000;-0.0146
ACGBY;Agricultural Bk Chin;11.79;11.48;11.68;3,300;0.03
ACGFY;Accordia Golf Co Ltd;10.000;10.000;10.000;200;-0.750
ACGI;Amacore Group Cl A;0.0005;0.0005;0.0005;35,000;0.0000
ACGPF;Accell Group Nv Ord;33.88;33.83;33.88;15,300;0.43
ACGX;Alliance Creative Group Inc;0.0031;0.0027;0.0031;24,491,200;0.0001
ACGYF;Subsea 7 Sa;15.30;15.30;15.30;4,600;-0.99
ACKAY;Arcelik A S Unsp ADR;32.84;32.81;32.84;3,800;-0.40
ACKDF;Auckland Intl Ltd NZ;4.980;4.980;4.980;800;-0.076
ACKRF;American Creek Resources Ltd;0.0420;0.0380;0.0380;30,000;0.0000
ACLLF;Atco Ltd Cl I Nv CD;36.31;36.31;36.31;1,000;-0.98
ACLZ;Accelerize New Media;0.3650;0.3650;0.3650;600;0.0100
ACMB;Agro Capital Management Corp;0.5900;0.5900;0.5900;1,000;-0.0100
ACMC;American Church Mort;2.200;2.200;2.200;200;0.000
ACMT;Acmat Corp;19.75;19.75;19.75;400;0.25
ACMTA;Acmat Corp A;19.04;19.04;19.04;200;0.01
ACMUY;Acom Co Ltd SP ADR;0.0005;0.0005;0.0005;700;-0.1995
ACNDF;Ascendas India TR;0.8100;0.8100;0.8100;32,700;-0.0050
ACNFF;Amsterdam Commodities Nv;27.85;27.85;27.85;100;-0.15
ACNI;American Community Newspapers Inc;0.0039;0.0039;0.0039;2,000;0.0010
ACNNF;Auscann Group Holdings Ltd;0.4550;0.4300;0.4500;29,800;0.0073
ACNV;Accelera Innovations Inc;0.0038;0.0033;0.0033;50,000;-0.0005
ACOL;Pinecrest Investmnt;0.0109;0.0090;0.0100;10,134,100;-0.0009
ACOPF;A2 Corporation;2.480;2.465;2.478;18,400;0.004
ACPGF;Atacama Pac Gold;0.3600;0.3457;0.3457;3,900;0.0257
ACPPQ;Anthracite Cap Pfd C;0.0001;0.0001;0.0001;600;0.0000
ACRB;Asia Carbon Industri;0.0050;0.0050;0.0050;35,000;0.0000
ACRFF;Accor Sa;46.29;46.29;46.29;100;0.89
ACRL;Atacama Resources International Inc;0.2700;0.2500;0.2700;6,300;0.0000
ACRT;Advanced Credit;0.1649;0.1400;0.1649;6,700;0.0009
ACRVF;Agellan Coml Real Es;8.168;8.168;8.168;100;-0.475
ACSAF;Acs Actividades De C;39.50;39.50;39.50;100;0.25
ACSAY;Acs Actividades ADR;8.000;7.893;8.000;118,000;0.290
ACSEF;Acs Motion Control Ltd;1.0000;1.0000;1.0000;100;0.0000
ACTL;Artec Consulting;0.0001;0.0001;0.0001;4,960,000;0.0000
ACUG;A & C United Agriculture Developing Inc;0.0200;0.0200;0.0200;10,000;-0.0100
ACUIF;Acuityads Holdings;3.047;3.047;3.047;100;0.008
ACUR;Acura Pharma Cmn;0.5000;0.4300;0.5000;13,400;-0.0033
ACUS;Acusphere Inc;0.0114;0.0113;0.0114;1,100;-0.0006
ACXA;Accurexa Inc;0.2959;0.2000;0.2000;25,700;-0.0412
ACXIF;Acciona Sa;86.55;86.55;86.55;100;6.11
ADAC;Adama Technologies;0.0840;0.0840;0.0840;1,000;0.0000
ADAD;Adaiah Distribution Inc.;0.1450;0.0500;0.0500;8,500;-0.0501
ADAT;Authentidate Holding;1.840;1.780;1.840;2,500;0.060
ADBCF;Adelaide Brighton Ltd;4.340;4.340;4.340;500;0.190
ADCF;Advanced Defense;0.0024;0.0018;0.0018;20,900;-0.0003
ADDC;Addmaster Corp.;14.61;14.61;14.61;1,900;0.00
ADDDF;Adidas Ag;195.2;193.2;193.2;100;-0.9
ADDLP;Anr Inc Pfd Series B;17.00;16.00;17.00;400;-6.50
ADDYY;Adidas Ag;97.95;96.12;96.32;47,700;-0.35
ADENF;Adira Energy Ltd;0.0010;0.0010;0.0010;800;0.0000
ADEXF;Advanced Exploration;0.0012;0.0012;0.0012;600;0.0000
ADFJF;Adf Group Inc;2.140;2.140;2.140;500;0.177
ADFS;American Defense Systems Inc;0.0034;0.0032;0.0032;116,600;0.0000
ADFT;Adfitech Inc;1.080;0.900;1.080;44,700;-0.010
ADGS;Adgs Advisory Inc;0.0175;0.0100;0.0100;36,000;-0.0111
ADHC;American Diversified;0.0027;0.0021;0.0025;1,505,800;0.0004
ADHLF;Applied Intl Holding;0.0750;0.0750;0.0750;2,700;0.0050
ADHLY;Applied Dev Hldgs Lt;0.8500;0.8500;0.8500;100;0.0500
ADKT;Adirondack TR Co;1,698;1,698;1,698;100;128
ADLI;Amer Medical Tech;0.0014;0.0014;0.0014;20,900;0.0000
ADLS;Advanced Life Scienc;0.0003;0.0003;0.0003;200;0.0000
ADMD;Advanced Medical Iso;0.1200;0.1050;0.1170;391,600;0.0069
ADMG;Adamant Dri Processi;0.2500;0.2499;0.2500;10,000;-0.0600
